code,lat,lon,elev_m
ABT,40.6058,31.3208,1794
AKAS,36.2326,29.6052,1165
AKKT,40.7844,37.0135,1575
ATAB,37.4696,38.2949,551
AVNT,38.7784,34.8523,1541
AYDN,37.6608,27.8792,716
BALT,41.5341,33.3858,1746
BDRM,37.065,27.4435,350
BOTS,40.9902,27.9810,30
BOYT,41.4206,34.9036,1170
BSTP,37.9505,34.1083,1318
CDAG,39.6236,34.3719,1136
COBT,36.5197,36.2556,1710
CTKT,40.6231,34.7896,1650
DNZL,37.6897,29.0464,1716
DVR,41.1594,32.0075,960
ELDT,40.4893,33.4266,1584
ELZG,38.497,38.9849,1640
ERCT,38.8117,35.7883,1905
ERCT,38.6031,35.5142,1915
ERMK,36.6414,32.9113,1855
ERZC,39.9167,39.1183,2810
ERZM,39.9053,41.3658,2380
GDZ,39.0874,29.4815,1324
GOLH,37.2365,29.5591,1090
GRSN,40.9244,38.2681,536
GYN,40.3533,30.7264,1279
GZTT,37.1356,37.1375,1496
GZZT,37.1278,37.3458,1209
GZT,37.3553,37.5615,1021
HAKT,37.5579,43.7071,2153
HENT,40.8231,30.8992,583
KART,41.1697,34.3056,1946
KDAG,38.4028,27.2667,997
KDHN,38.5209,32.1143,1118
KRCT,41.0814,32.8792,1449
MANT,38.4908,28.5579,945
MARD,37.3132,40.7776,1290
MLTT,38.3542,38.3617,1170
MRFT,40.5036,33.4547,1500
MUGL,37.2075,28.4675,1465
NAL,40.2094,31.3092,1390
PERT,41.0792,37.7358,480
SEYT,39.5236,30.8538,1172
SGKT,40.5733,32.0561,1890
SVST,39.7722,36.9528,1665
TDAG,40.9903,27.5344,148
SART,40.6876,27.1777,680
TKTP,38.04,30.32,1788
TRHT,40.3497,36.1778,1190
ULDT,40.1416,29.1357,1720
URLA,38.3602,26.5956,495
TVAN,38.5235,43.4044,1970
YAMN,38.5531,27.1575,997
BEST,37.8911,41.27,959
BOZC,39.8417,26.0528,202
AYVA,39.3077,26.69,100
BTOK,39.7617,28.0311,407
KELT,40.1486,39.2556,1912
KAHT,37.6307,36.8734,1830
MEST,36.587,34.145,855
BNGL,38.9521,41.1499,1968
DIGO,40.4147,43.3742,2278
ARTV,41.1849,41.9283,2034
MACK,40.9432,39.7686,611
BORA,39.8801,30.4534,960
ELBA,41.1469,28.4307,331
AKHS,38.8788,27.8138,370
DYDN,39.5436,43.6889,2010
TUTA,39.4019,42.8137,2154
HOMI,40.0451,41.9048,2166
KOPT,40.0179,40.4972,2489
ANDN,37.58,36.3453,1142
KEMA,39.2688,38.4932,1026
PINB,38.6769,36.4027,2288
TATV,38.58,42.2672,1831
YAYL,36.0343,36.107,1225
GULE,37.2837,34.7765,1625
DIYA,37.9234,40.1208,838
YAYO,39.6113,27.0726,122
YURE,36.8259,35.6324,491
AKCD,38.2956,37.9224,1376
BALY,39.7403,27.6195,645
BOLV,38.7183,30.9502,1303
DURS,39.6011,28.4742,960
KHAL,38.3704,29.4914,1130
DEMI,39.0428,28.7162,920
GCAM,37.7139,27.2418,38
TURN,36.7753,28.2444,28
ILGA,41.0521,33.7165,2069
DBOC,41.3452,41.6667,578
DAGI,41.0778,41.9142,1188
DBAD,41.0183,41.6947,1139
DDEM,40.8925,41.7537,1425
KUZU,36.7735,37.075,701
TOKA,40.3232,36.4783,679
BALAT,39.5561,33.1198,1301
BBAL,39.5427,33.123,1312
KORT,37.0007,30.3503,1304
GAZI,36.2347,32.3157,394
ERBA,40.6814,36.7547,655
SUSE,40.2086,38.2025,1586
SCER,39.8613,37.1286,1428
GEVA,38.3122,43.0586,1672
SIRN,37.4962,42.413,968
KAST,41.4904,33.9286,677
HAVZ,41.0743,35.718,575
EUZM,39.7073,39.6975,1250
PALU,38.6943,39.9293,100
KIZK,36.4803,34.1437,165
EKAR,39.2559,42.064,2129
EPOS,41.5035,42.7279,1499
EAK,40.736,43.6073,1605
EATA,39.8622,42.4916,2770
KAMA,37.1861,36.6677,983
DAD,39.9081,32.7534,864
BALA,39.5561,33.1198,1301
BTAS,40.5706,30.9999,732
BCAM,40.8158,32.0656,1207
3801,38.6896,35.4999,1096
5102,37.9678,34.673,1229
ISPR,40.4873,41.008,1200
BAGO,37.9905,30.7886,958
CUALT,39.2734,36.7526,1471
CUKAN,39.3163,37.4667,1523
CUGUR,38.7237,37.2719,1401
CUSAR,39.4185,36.2444,1458
ECAT,39.6062,40.9742,1910
CAYS,40.6665,30.4315,290
ASA,40.6915,30.7199,230
TAS,40.6006,30.6147,400
YUT,40.8978,30.6001,150
DOK,40.5579,30.8467,635
KAR,40.927,30.2065,260
OFL,40.9573,30.3771,350
ESE,40.7729,30.2275,437
CND,40.7445,31.1771,950
EKI,40.544,31.0412,890
CIN,40.436,30.3057,1100
HEN,40.8214,30.8986,590
GOK,40.6052,31.1453,1090
AKC,40.9723,31.2089,680
NEV,39.954,27.263,329
GBZM,40.7866,29.4501,270
KMR,40.418,27.069,40
BOZ,40.534,28.782,119
ERE,40.0453,28.8913,657
IGD,40.2641,29.2015,165
KRC,40.2625,28.3323,443
YNK,40.8258,27.3967,370
SNL,41.2288,28.2092,173
KKZ,41.1269,27.3448,143
MAR,40.967,27.9617,41
KNL,40.2707,27.5261,178
ESKM,40.6069,28.9455,96
MADM,40.6538,27.6647,40
KVK,40.6041,26.8877,75
TRNM,40.5057,27.7786,80
SGTM,40.767,27.1081,295
MSDM,40.3495,28.6,201
SLV,41.0731,28.1403,30
ATIM,40.083,27.5633,230
BUY,40.8526,29.1175,231
CAM,38.7484,27.3125,279
DGB,38.0521,26.8826,22
BBD,37.8019,28.8528,888
BLN,38.6349,27.8219,348
CVD,37.7522,28.1066,386
HAR,38.3411,28.7992,901
YAK,38.515,27.3235,484
YEN,38.4058,27.9487,928
KON,38.465,28.5716,606
KTT,38.6883,28.093,493
UZP,38.0313,29.1746,1203
KRB,38.1342,28.4235,823
SUL,38.0536,28.7676,1194
YNC,37.8139,28.5726,248
DUV,38.22,27.4491,246
BEY,38.227,26.9271,336
DAG,38.004,27.7508,654
ZEY,38.2389,26.5033,76
BAG,38.6554,26.8519,89
CKO,37.0625,35.367,135
DED,36.9614,34.7993,479
IMO,37.2923,35.6438,128
DRY,36.8386,36.2496,187
NUR,37.1712,36.7569,570
AKO,37.4615,35.446,450
KRT,37.2595,36.2232,636
GZY,36.487,36.154,883
REY,36.2597,36.5988,250
KHM,37.5234,36.9909,614
KAH,37.8053,38.6101,766
GER,38.0315,39.0352,815
BES,37.7001,37.855,1010
PAL,38.6986,39.9176,1032
CLH,38.0156,38.2066,1304
PTG,38.26,38.6088,1784
MDN,38.3931,39.6821,1138
NAR,37.3919,37.1574,650
CGC,37.747,37.296,1114
CNG,38.2145,39.2995,1023
AKK,38.497,38.985,1650
FRT,38.684,39.1976,1100
CAY,37.1721,35.3182,116
HAS,36.7719,36.465,850
HCB,37.3438,36.908,516
AYK,37.4144,36.8067,580
MLTY,38.3257,38.4253,1050
0001,40.6681,35.8525,520
0002,40.6008,33.6018,805
0003,40.5783,34.9826,894
0004,41.4128,33.7913,694
0005,41.2647,36.3683,460
0007,40.3225,36.5466,680
0009,39.8118,34.8065,1358
0006,41.1436,35.4355,130
0008,40.5813,36.9555,720
0010,39.9081,32.753,850
ISP,37.84,30.51,1100
MALT,38.31,38.43,1120
ANTO,39.8689,32.7936,883
TROY,40.11,26.418,95
KLC,40.633,29.398,138
ALT,41.088,28.74,18
CMH,40.0115,27.9703,205
SDU,37.4765,30.9996,0
HNZ,37.7495,29.2696,797
DRP,39.3417,32.7422,1134
BKS,39.1961,33.2629,998
CEV,39.4517,33.5885,1029
SOF,39.2884,33.0964,975
OGB,39.6851,32.8304,1130
YAR,39.1704,32.927,1154
CARP,36.8415,29.1715,986
CKRZ,36.9732,29.1922,860
CELM,36.886,28.9968,815
CBCK,37.0379,29.3126,1250
CKCV,37.0925,29.2462,1102
CSKZ,37.0645,29.0769,745
CTSC,36.9352,29.2581,1052
CUZM,36.7155,29.2732,703
AUMIH,39.8679,31.4832,1416
AUSIV,39.4396,31.5397,1111
AUKUT,39.3955,30.0213,1085
AUKIR,39.2872,30.5308,1088
AUBOZ,39.9107,30.0325,853
CIBE,36.9873,29.4152,1112
CBAL,36.8551,29.4108,1373
BZG,40.1727,26.9865,180
CTK,40.6231,34.7897,1650
CUZAR,39.8882,37.7705,1425
GUL,37.2837,34.7763,1625
KOZ,37.4338,35.8198,118
MANS,38.4908,28.5578,961
MARK,36.2748,30.4356,999
MYC,41.0325,27.7133,99
OLTU,40.546,41.9734,1350
TOKT,39.7617,28.0311,407
VAN,38.5286,43.4061,0
STZ,40.9442,29.1267,30
SYY1,40.9442,29.1267,30
EADA,40.8212,29.2905,6
BLA,39.5559,33.1206,0
BAKC,37.9475,29.3084,900
IRLI,37.8831,29.1841,350
KOCA,37.8407,29.2088,345
SAZA,37.9613,28.9068,180
UZER,37.8912,29.0378,215
REFA,39.906,38.7651,1594
KERG,37.4146,34.1253,1365
KESN,40.8259,26.68,366
KULU,39.1713,32.9173,1178
KAND,41.0943,30.1922,75
BTMN,37.8911,41.2699,962
SURC,36.8793,38.6128,632
TNCL,39.1146,39.5422,1192
VMUR,38.9894,43.5716,1717
CALC,40.2548,34.986,1154
SAMS,41.361,36.1872,192
ORDU,40.991,37.8571,526
COAL,40.2548,34.986,1154
AVNS,38.8065,34.8474,1221
TBLG,41.7309,44.7382,540
AKHA,41.4101,43.4928,1720
KKUL,39.1713,32.9173,1178
SAHE,40.8525,30.8536,481
KEPZ,36.9015,31.604,615
KMER,37.7685,32.368,1231
BGOL,38.9881,40.6711,1166
